A.1.5. Wood,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,
A.1.5.1. Timber (Industrial roundwood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.1.5.2. Wood fuel and other extraction ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A.1.6. Fish capture, crustaceans, molluscs and aquatic invertebrates",,,"718,375 ","834,780 ","784,846 ","976,581 ","1,200,230 ","1,242,739 ","899,574 ","601,604 ","691,601 ","736,147 ","687,406 ","728,959 ","904,548 ","947,440 ","997,582 ","988,872 ","1,377,176 ","1,569,550 ","1,648,057 ","1,517,643 ","1,444,465 ","791,393 ","841,844 ","1,537,357 ","1,682,823 ","1,660,645 ","1,634,331 ","1,758,912 ","1,503,038 ","1,507,713 ","1,049,894 ","1,577,240 ","1,718,207 ","1,559,332 ","1,614,937 ","2,062,523 ","2,208,087 ","1,684,119 ","1,738,398 ","1,984,638 ","1,985,671 ","2,136,797 ","1,988,702 ","1,736,249 ","1,667,105 ","1,329,321 ","1,401,395 ","1,286,352 "
A.1.7. Hunting and gathering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760 ,855 ,799 ,788 ,735 ,700 ,676 ,654 ,611 ,634 ,605 ,644 ,749 ,
A.2. Metal ores (gross ores),,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A.2.1. Iron ores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.2.2. Non-ferrous metal ores,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A.2.2.1. Copper ores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.2.2.2. Nickel ores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.2.2.3. Lead ores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.2.2.4. Zinc ores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.2.2.5. Tin ores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A.2.2.6. Gold, silver, platinum and other precious metal ores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.2.2.7. Bauxite and other aluminium ores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.2.2.8. Uranium and thorium ores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.2.2.9. Other metal ores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.3. Non metalic minerals,,,"378,000 ","504,000 ","769,000 ","796,000 ","850,000 ","912,000 ","1,334,900 ","1,423,736 ","1,277,450 ","1,149,348 ","1,286,470 ","1,533,871 ","1,879,317 ","1,905,987 ","2,194,900 ","1,652,322 ","1,715,199 ","1,587,918 ","1,700,142 ","1,640,856 ","1,603,371 ","1,674,954 ","1,481,481 ","1,533,875 ","1,591,607 ","1,683,578 ","1,722,195 ","1,766,440 ","1,567,953 ","1,614,919 ","1,507,261 ","1,449,177 ","1,416,889 ","1,398,663 ","1,445,286 ","1,490,686 ","1,556,872 ","1,850,355 ","1,821,329 ","1,977,502 ","1,900,507 ","1,530,454 ","1,456,488 ","1,726,375 ","2,149,133 ","2,198,835 ","2,229,818 ","2,185,842 "
